BATCH-R1-0121,AFY_BATCH_PRODUCTION_20260820_R1,111,'05029,Arkansas,Conway,21393,Koontz Electric Company Inc,ChIJBxbMlbp1zYcRPE-gR-noGmk,,39,60,Morrilton,"1223 E Broadway St, Morrilton, AR 72110",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0122,AFY_BATCH_PRODUCTION_20260820_R1,176,'06023,California,Humboldt,131647,Dynamic Power Systems,ChIJ__-zXihz1FQRrRYpPqWGlaY,,38,60,Carlotta,"6933 CA-36, Carlotta, CA 95528",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0123,AFY_BATCH_PRODUCTION_20260820_R1,10,'01021,Alabama,Chilton,47708,Dodd Electric LLC,ChIJVf7jyrrWjogRom5faf-vxqg,,38,60,Jemison,"1224 Co Rd 42, Jemison, AL 35085",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0124,AFY_BATCH_PRODUCTION_20260820_R1,176,'06023,California,Humboldt,131647,Goodman Electric,ChIJh2ilEngA1FQRynyXs95MiNk,,37,60,Eureka,"4140 Williams St, Eureka, CA 95503",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0125,AFY_BATCH_PRODUCTION_20260820_R1,39,'01083,Alabama,Limestone,122928,Goss Electric Co Inc,ChIJn22ap0KLYogR_FUghWe2NC8,,37,60,Athens,"Athens, AL 35611",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0126,AFY_BATCH_PRODUCTION_20260820_R1,7,'01015,Alabama,Calhoun,115834,BRIAN'S SERVICE CO.,ChIJ5aL7JHjbiIgRsRUhSusXp1w,,37,60,Anniston,"627 Sidney Cir, Anniston, AL 36207",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0127,AFY_BATCH_PRODUCTION_20260820_R1,265,'12055,Florida,Highlands,111122,Sapp Electric Inc,ChIJa9O7oVZY3IgRBMlfyHdT6EY,,37,60,Sebring,"5822 Fig Rd, Sebring, FL 33875",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0128,AFY_BATCH_PRODUCTION_20260820_R1,222,'08067,Colorado,La Plata,56898,Dry Creek Electric,ChIJhUWJTqACPIcRL5UP_IGMQNw,,37,60,Durango,"Durango, CO 81301",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0129,AFY_BATCH_PRODUCTION_20260820_R1,256,'12035,Florida,Flagler,140360,David Gray Home Services,ChIJPxxjrBCT5ogRyyqEbwAFVxc,,36,60,Palm Coast,"15 Hargrove Ln, Palm Coast, FL 32137",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0130,AFY_BATCH_PRODUCTION_20260820_R1,176,'06023,California,Humboldt,131647,Northcoast Lighting & Electric,ChIJESnW6TL-01QRagjZF4sO3pQ,,36,60,Eureka,"1489 Hoover St, Eureka, CA 95501",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0131,AFY_BATCH_PRODUCTION_20260820_R1,209,'08037,Colorado,Eagle,54291,Rexel,ChIJu2ahlrjDQYcRMJSHhcWcNaI,,36,60,Eagle,"1393 Chambers Ave Unit A, Eagle, CO 81631",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0132,AFY_BATCH_PRODUCTION_20260820_R1,193,'06109,California,Tuolumne,53160,O'Connor Electric,ChIJLWn_orzPkIARJqn7iDA6WCk,,36,60,Sonora,"14999 Camage Ave SUITE A, Sonora, CA 95370",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0133,AFY_BATCH_PRODUCTION_20260820_R1,270,'12075,Florida,Levy,48520,Basel bros electric llc,ChIJOX985veL6IgRCDSmfNeO-Ks,,36,60,Morriston,"14650 SE 23rd Pl, Morriston, FL 32668",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0134,AFY_BATCH_PRODUCTION_20260820_R1,158,'05125,Arkansas,Saline,133288,E light Electric LLC,ChIJkc29rMZRzYcRyrLN2liCtCI,,35,60,Benton,"4345 Salt Creek Rd, Benton, AR 72019",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0135,AFY_BATCH_PRODUCTION_20260820_R1,184,'06055,California,Napa,132949,Affordable Electrician Napa-Licensed Electrical Contractor,ChIJWf1380oHhYARLDiowjkjkts,,35,60,Napa,"1625 Trancas St Unit 2122, Napa, CA 94558",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0136,AFY_BATCH_PRODUCTION_20260820_R1,176,'06023,California,Humboldt,131647,Capital Electric Inc,ChIJr-305CjPGyoRERoaCUD9Jgg,,35,60,Whitethorn,"581 Toth Rd, Whitethorn, CA 95589",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0137,AFY_BATCH_PRODUCTION_20260820_R1,161,'05131,Arkansas,Sebastian,130641,B & A Electric,ChIJL-GklPWxy4cRlcScMdXzVuA,,35,60,Fort Smith,"504 Xavier St, Fort Smith, AR 72901",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0138,AFY_BATCH_PRODUCTION_20260820_R1,308,'13059,Georgia,Clarke,129921,"Reliable Heating & Air, Plumbing and Electrical - Athens",ChIJ0d1gV2pt9ogRAO8rnvl3AEw,,35,60,Athens,"112 Park Ave #3, Athens, GA 30601",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0139,AFY_BATCH_PRODUCTION_20260820_R1,7,'01015,Alabama,Calhoun,115834,"B & C Electric Solutions, LLC",ChIJCfWSoeVJiogRUuiqvXxOYsk,,35,60,Wellington,"13316 US-431, Wellington, AL 36279",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
BATCH-R1-0140,AFY_BATCH_PRODUCTION_20260820_R1,265,'12055,Florida,Highlands,111122,Amp Check Electric,ChIJYZ2bf6pn3IgR5RWYJxSCOGI,,35,60,Lake Placid,"444 Garfield Ave NE, Lake Placid, FL 33852",OPERATIONAL,TEXT_SEARCH_PRO_IDENTITY,
